text,label,summary
1. Please upload the income tax certificate of the employee under section 82BB 91 up to the departure date. 2. Please upload the copy of the passport mark with the last departure seal under the work permit. 1.Salary should be corrected in application form A. Passport number not correct. Please uplaod the proper amendment copy of the existing work permit for the new passport B. Please resubmit as discussed. How the expatriate sent family remittance kindly clarify with the document Please clarify how the expatriate sent family remittances to his own country with the proper documentation as discussed. 1. Only the personal income tax certificate of the employee under section 82BB 91 by mentioning last working date should be submitted Please upload the copy of the passport of the Investor Employee Expatriate whole used part Please submit the FE visa related document for the family member of Mr.LEE SUNWOOK 1.Please explain the reason of further recruitment 1. Please submit the outcome of the job advertisement with the candidate details. 2. why did not you train and create local manpower last 5 years of the successor of the expatriate in the post why you want to hire you again for the same post. kindly clear it..,Shortfall,
Please replace the expatriate and hire a local employee. Please replace the expatriate and hire local employee A. 6 years will exceed 01 Nov 2023. Kindly take the necessary action to cancel the work permit and replace the post with local HR. B. If you don t follow the above advice please submit the following information and documents i the reasons for the extension of the work permit with the supporting documents ii a replacement plan of the foreign worker with a local worker along with supporting documents iii submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years iv submit a duly approved training manual having the evaluation method of the training for local workers. v the experience and qualification of the position for which a foreign worker is appointed vi the process and formalities with supporting documents observed in appointing the expatriate vii the duly approved Service Regulation where provisions of appointing foreign workers are described clearly. C. Please upload the proof of the source tax deduction of the expatriate for the assessment year for 2023 2024 up to the last month D. Please clarify how the foreigner sent family remittances to his her own country with the proper documentation mark all outward remittance transactions in the bank statement for last year . A. 7 years will exceed on 26 Sep 2022 kindly take necessary action for the cancellation of the work permit and replace the post by local HR. B. If you don t follow the above advice please submit the following information and documents i the reasons for extension of the work permit with the supporting documents ii a replacement plan of the foreign worker with a local worker along with supporting documents iii submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years iv submit a duly approved training manual having the evaluation method of the training for local workers. v the experience and qualification of the position for which a foreign worker is appointed vi the process and formalities with supporting documents observed in appointing the expatriate vii the duly approved Service Regulation where provisions of appointing foreign workers are described clearly. A. 06 years will exceed on 07 Oct 2022 Please replace the post by the local employee. B. If you still want to continue with this person you can resubmit the application with an adequate explanation for review and consideration of the higher authority with the following information and documents i the reasons for extension of the work permit with the supporting documents ii a replacement plan of the foreign worker with a local worker along with supporting documents iii submit a plan with supporting documentation on how the foreign worker trains and develops local worker as his successor iv submit a duly approved training manual having the evaluation method of the training for local workers. v the experience and qualification of the position for which a foreign worker is appointed vi the process and formalities with supporting documents observed in appointing the expatriate vii the duly approved Service Regulation where provisions of appointing foreign workers are described clearly. 1.Five years of employment will be completed on 26.09.2020 the company should explain why they need to extend the work permit even after five years of employment 2.Production statement of the last year should be submitted Please upload the proper BIDA registration for C. P. Bangladesh Co. Ltd. Feed Mill Unit 3 With all the uploaded documents kindly also upload the passport copy each of the pages chronologically marked with the latest E visa seals exit visa seal latest arrival seal and final departure seal under the work permit uploaded passport number does not match with the uploaded work permit. The effective date of the first Work Permit is not correct. Please explain why the expatriate is indispensable for the company..,Shortfall,
1.Copy of Letter of Credit L C should be submitted 2.Where is the front page of passport Please add Basic Salary in Appointment Letter 1.Clear copy of passport 2.Copy of Letter of Credit L C Bill of Lading B L or Bill of Entry B E in case of machinery supplier representative 3.Service contract agreement with the machinery supplier or service provider should be submitted 1.The company has changed the designation of the employee and resubmitted with the basic salary of taka 55200 as per the designation basic salary should not be less than USD 850.Please enhance the salary. 2.Publish date of the advertisement should be mentioned 1.The company has enhanced the basic salary as USD 850 and submitted an explanation in doc 13 regarding the issue considering the explanation E visa may be recommended 1.Basic salary should not be less than USD 1000 or equivalent BDT as Business Development Manager 1.Currency of the salary should be in the USD or BDT normally 2.experience certificate was not found 1.Submitted documents does not match with the name of the company The proposal for the extension of the branch office has been deferred for the not a matching activities and office address do not match with the previous permission letter b uploading the income tax certificate for the assessment year 2018 2019 Why the application is delayed Please explain.,Shortfall,
1. Please correct the existing and proposed Ownership status 2. Existing manpower does not match with BIDA amendment memo no. 331 date 05.03.2020 In section A company information existing Ownership status would be proprietorship and proposed Ownership status would be partnership . In section A existing Ownership status would be proprietorship and proposed Ownership status would be partnership. 1. In section 6 the proposed land value has been shown as 434 million BDT but it does not match with the total amount of attached land purchase deeds so please attach all deeds with a top sheet 2. Existing local equity and local loan do not match with BIDA registration 3. Why exhaust fan and air compressor need to be imported it seems that these can be collected locally 4. Please explain how will you increase your building and machineries value in such a large margin. Please explain how will you increase your building and machineries value in such a large margin. The company is in financial loss. It shall explain how it will pay the salary of the foreigner. Also submit work order contract in Bangladesh Please submit audited financial statement with balance sheet As the company s financial position is not good please explain how the company will compensate the losses the company is in financial loss. please explain how such a huge salary will be paid to this expatriate please submit audit report of pre COVID reriod.,Shortfall,
1.Updated copy of agreement should be submitted 2.Submitted nomination letter in doc 04 has already been expired please review 1.Submitted agreement submitted in doc 11 has already been expired A. 9 years will exceed on 07 Dec 2022. Kindly take the necessary action to cancel the work permit and replace the post with local HR. B. If you don t follow the above advice please submit the following information and documents i the reasons for the extension of the work permit with the supporting documents ii a replacement plan of the foreign worker with a local worker along with supporting documents iii submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years iv submit a duly approved training manual having the evaluation method of the training for local workers. v the experience and qualification of the position for which a foreign worker is appointed vi the process and formalities with supporting documents observed in appointing the expatriate vii the duly approved Service Regulation where provisions of appointing foreign workers are described clearly. 1.Seven years of employment will be completed on 10.06.2020 2.The company should explain why they have applied for further extension 1.Income tax certificate 2020 2021 should be submitted 1.Passport copy is not clear 2.Fresh copy of updated service contract should be submitted 3.Three years of employment under E1 visa will be completed on 14.05.2021 Please explain why need more time to complete the project 4. Salary will be paid by technical service provider in Bangladesh or abroad should be mentioned in the application form 1.Passport copy is not clear 2.Fresh copy of updated service contract should be submitted 3.Three years of employment under E1 visa will be completed on 14.05.2021 Please explain why need more time to complete the project 1.Submitted copy of the agreement in doc 11 should be updated Other allowances House rent Conveyance Medical in previous company was much higher than the currently proposed salary. Please explain. 1. Please provide the scoring sheets and interview outcome of the recruitment process with the details of the candidates name phone number email address applications copy . 2. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employees for the position 3. Please mention the brief job description of the expatriate specifically in the application. 4. Kindly inform that without BIDA permission Paying any remunerations financial and non financial facilities at home and abroad is illegal. Please ensure and certify that you mentioned all financial and non financial facilities in the application also certify that beyond the work permit no financial and non financial facilities are provided to the expatriate. 5. Earlier the expatriate worked in the same company same post. Why is the expatriate so indispensable that you need to hire him again in the same position .,Shortfall,
1.Copy of passport with used page should be submitted 2.Investor should mention in the field of designation 1. Investor should be mentioned in the field of designation Failed to comply with the observation several times. Please meet with Director BIDA for consultation. Please upload the copy of passport whole used part House rent is only taka 15000 which should be enhanced rationally Please fill up section 13 properly and submit the NOC From Fire Please provide us the detailed LC copy Entry approved machinery list in existing part as approved list. Mention type of Generator as proposed. the value of imported raw materials which is mentioned in the column no 7 the per unit price 1000 piece mentioned is 170 tk but sells price is more than less form the original price . please give clarification relating to this matter. the raw material list should be corrected accordingly. A. Please fill all columns properly upload all attachments as per the checklist and then resubmit the application B. Please discuss over the phone regarding finalizing the visit schedule. Entry approved machinery list in existing part as approved list. .,Shortfall,
you are requested to discuss and clear the issue to BIDA official that machine supplied by GE but expatriate deputed by Tractebel Engineering Ltd 1. Please clear the reason for the work permit under the E 1 visa 2. Please recheck the salary structure kindly mention the full remuneration package in the application which you provide to the expatriate 1.Effective date of the first Work Permit is not correct kindly revise properly 2.Please upload the proofs of the source tax deduction from the expatriate s salary for the assessment year 2022 23 Please uplaod the copy of the LC and then resubmit the application properly 1.Cancellation letter of previous work permit was not found After the previous shortfall they uploaded doc 10 and resubmit the application. Kindly see the document and give your kind decision. Please uplaod proper copy of service contract agreement appointment letter in case of employee work permit passport number uploaded passport do not match why you need work permit under E1 visa kindly clear 1. Please upload the copy of the passport whole used part chronologically mark with the latest E visa seal latest arrival seal final departure seal exit visa seal under the work permit 2. Please ensure the up to date income tax clearance certificate with the challan return copy under section 91 of Income Tax ordinance 1984 up to the last departure date. .,Shortfall,
did not upload a the clear copy of the passport. b encashment certificate according to the checklist. Please submit the latest approval of Bangladesh Bank Please upload the update official decision for the extension proposal submit job advertisements in at least 02 national newspapers and on 01 online job site as per BIDA guideline Work permit has been already expired. So please apply for extension first. The company may submit a letter address in BIDA for VIP terminal use. Also correct the application mentioning the correct person s name for p pass issue. did not upload the copy of the passport with visa seal and arrival stamp Please upload the list of local employees with their latest salary increment Please upload the copy of the passport with visa seal and arrival stamp The company may submit a letter addressin BIDA for VIP terminal use. Also correct the application mentioning the correct person s name for p pass issue. .,Shortfall,
1. Salary payable abroad is not acceptable please revise properly 2.Please upload the last payslip of the expatriate 1. Salary payable abroad is not acceptable please revise properly 2.Please upload the last payslip of the expatriate 1.Updated copy of board resolution and reappointment letter by mentioning extended period should be submitted Please also ensure the up to date income tax clearance certificate with the challan and return copy under section 193 of the Income Tax Act 2023 up to the last departure date 7.6.2023 1.Income tax certificate 2019 2020 should be submitted 2.Copy of security clearance should be submitted 3.Company s production statement of the previous year and List of local employees trained by the foreign expatriate should be submitted 1.Copy of the passport and reason of the amendment should be submitted 1. Please clarify how the expatriate sent family remittances to his own country with the proper documentation please mark the outward family remittance in the bank statement . 2.Please uplaod the secuirty clearnce 6 years will exceed 14 Sep 2022. Kindly take the necessary action to cancel the work permit and replace the post with local HR. 1.Updated copy of board resolution and reappointment letter should be submitted 2.Income tax certificate 2020 2021 should be submitted 3.Salary statement of the employee from the bank should be submitted 4.Company s production statement of the previous year and List of local employees trained by the foreign expatriate personnel during his her previous year should be submitted Why the person is indispensable What has been done in developing local HR to replace foreign employee .,Shortfall,
1. Pls fill up the Raw materials criteria 2. . pls upload Copy of Bank Import Statement issued by concerned bank last six months 1.Copy of passport with used page should be submitted 2.Educational certificate with translated copy should be submitted 3.Ratio of local and foreign employee 20 1 does not cover so no foreign employee will be allowed Kindly input sales ratio to the column 4 and Input number of manpower to the column 5. Submit form 117 issued by RJSC relevant paper to revise share. 1.Copy of passport with used page should be submitted 2.Experience certificate should be submitted 3.Ratio of local and foreign employee 20 1 does not cover so no foreign employee will be allowed 1.Copy of passport with used page should be submitted 2. Copy of the experience certificate is missing Please first apply for relaxing the foreign employee quota 1. Pls fill up the Raw materials criteria 2. Pls upload copy of installment Machinery List. 3. pls submit Membership certificate of Business Chamber 4. pls upload Copy of Bank Import Statement issued by concerned bank. 5 Pls upload Copy of Update Fire License. As instructed before please first apply in hardcopy for relaxing the foreign employee quota 1.Copy of passport with used page should be submitted 2.House rent should not be less than USD 350 3.Educational and experience certificate with translated copy should be submitted 4.Ratio of local and foreign employee 20 1 does not match 5.List of local employee should be submitted 1.Copy of passport with used page should be submitted 2.House rent should not be less than USD 350 3.Educational certificate with translated copy should be submitted.,Shortfall,
please submit relevant project related documents in regards to this salary payment please submit all the following information and documents 1. bank account statement 2. i the reasons for extension of the work permit with the supporting documents ii a replacement plan of the foreign worker with a local worker along with supporting documents iii submit a plan with supporting documentation on how the foreign worker trains and develops local worker as his successor iv submit a duly approved training manual having the evaluation method of the training for local workers. v the experience and qualification of the position for which a foreign worker is appointed vi the process and formalities with supporting documents observed in appointing the expatriate vii the duly approved Service Regulation where provisions of appointing foreign workers are described clearly. 1. Mention the house rent accommodation arrangement and all sorts of allowances 2. Please submit 2 job advertisements in national daily newspaper and 1 advertisement in a well known online job searching portal please provide a recommendation letter from Payra port authority in favor of paying full salary abroad The company shall 1 please submit the full copy of the contract executed with the Chittagong Port Authority and the mode of receiving payment from the procurement entity The company shall 1 submit the full copy of the contract executed with the Chittagong Port Authority and modalities of receipt of consulting fees. 1. Mention the house rent accommodation arrangement 2. Please submit 2 job advertisements in national daily newspaper and 1 advertisement in a well known online job searching portal please submit updated tax certificate return acknowledgement The application will be scrutinized as the applicant mentions paying the expatriate s salary in their home country. please discuss with relevant papers. .,Shortfall,
A. As per the work permit you should cancel the work permit within 7 days of the departure of the expatriate. You submit the application for the cancellation of 25 applications whose are finally left Bangladesh a long time ago. With the uploaded documents Please explain the causes of the too late application with the proper documents. B.Please upload the all pages of the passport each of the pages chronologically marked with the latest E visa seals exit visa seal latest arrival seal and final departure seal under the work permit Please meet with all tax related documents with the Director General and then resubmit the application. Late applciation. salary information is not correct. Too late application. 1.How long this this software installation will continue How many expert need more to come to finish this project Please uplaod the valid work permit up to 27.12.2022 Please uplaod all pages of the passport Work permit extended from 11.5. 2021 but the desired effective date is 17.2.2021 which is not acceptable Please uplaod all pages of the passport The Work permit extended from 3 April 2021 but the desired effective date is 17.2.2021 which is not acceptable 1. you mention only an expatriate in the company which does not match with the BIDA records. kindly revise correctly 2. Salary payable abroad is not acceptable kindly revise properly 3. Please upload the last payslip of the expatriate 4.Please upload the copy of the passport whole used part Please upload the Copy of Letter of Credit L C Bill of Lading B L or Bill of Entry B E .,Shortfall,
for product no 3 LED Light raw materials cost is too high almost 30 times bigger than production sale value as per mentioned amount in registration. 1. rectify quantity and percentage of raw materials. 1.rectify HS code and percentage. Please fill up section 12. Proposed changes in annual production capacity do not match with group class and subclasses of the business. Without new machinery how is it possible to produce the new products justification is needed. Proposed changes in annual production capacity do not match with group class and subclasses of the business Rental agreement of office should be submitted in the 300 taka non judicial stamp 1. Rental purchase agreement of office should be submitted a. Upload full registration copy of BIDA along with all other documents that were issued during registration in attachment 1. b. Information of section 13 is not correct according to the fire license that has been uploaded. c. Upload challan copy of the application of environment certificate. d. Mention Bank address in section 15. e. Price USD mentioned in section 7 is not correct. f. Fill up raw material list..,Shortfall,
Whether the expatriate sent remittance to his own country from 2018 to till today kindly mark those family remittance transactions in the bank statement. Please mention festival bonus and performance bonus in the salary strcutre. 1. Please provide the scoring sheet interview outcome of the recruitment process. 2. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employee for the position Kindly clarify it 3. Kindly upload the experience certificate as per the job advertisement. You uploaded bank statements up to September 2023. Please upload the bank statement for the last 6 months and reply on the last shortfall then resubmit the application properly Kindly also upload the visa recommendation letter. A. Please clarify how the foreigner received the salary from the company and how he sent family remittances to his her own country with the proper documentation mark all salary transactions and outward remittance transactions in the bank statement for last year . Kindly always mark the salary and outward remittance transactions in the bank statement. B.According to the industry registration the company is not eligible to hire any foreign employee In the manpower column there is no scope for hiring foreigners . Please upload the amended copy of the industry registration the column for manpower based on the actual manpower. A. Please clarify how the foreigner received the salary from the company and how he sent family remittances to his her own country with the proper documentation mark all salary and outward remittance transactions in the bank statement for last year . Kindly always mark the salary and outward remittance transactions in the bank statement. B. Last time the work permit was approved with the remark Please clarify how the foreigner received the salary from the company and how he sent family remittances to his her own country with the proper documentation mark all salary transactions and outward remittance transactions in the bank statement for last year . Kindly always mark the salary and outward remittance transactions in the bank statement..Why did not follow it 1.while you upload the visa recommendation letter you removed the visa amendment letter. Kindly upload the visa recommendation letter visa amendment letter. 2.Kindly upload the visa recommendation letter 1.Updated copy of board resolution regarding extension of work permit should be submitted please upload both old and new passport..,Shortfall,
