category,description
Rejected,1. Ratio of local and foreign employee should be minimum 20:1 as per BIDA Guideline so visa recommendation rejected.
Rejected,As per submitted BIDA registration the company is Joint Venture company. Tarana Ali Existing Director. Please proposed director list insert in that part	
Rejected,Please submit a hardcopy application for review of the BIDA higher authorities.
Rejected,Waiver of the foreign:local manpower ratio is the jurisdiction of the higher authorities of BIDA. It was thus suggested to the company representative to submit a hardcopy application for review of the higher authorities. Please follow that suggestionn. 
Rejected,Please submit a hardcopy application for review of the BIDA higher authorities.
Rejected,Please submit a hardcopy application for review of the BIDA higher authorities.
Rejected,Please submit a hardcopy application for review of the BIDA higher authorities.
Rejected,Upload proper encashment certificate.	
Rejected,"                                   \
,                  "
Rejected,                  
Rejected,"Bar and restaurant with Bar is an economic activity but not any industry. BIDA does not register any commercial activity. Moreover, Bar and Restaurant with bar is not included in the memorandum of Association."
Rejected,   
Rejected,Please hire a Junior Assistant Manager from locally
Rejected,1. Please apply in the Rajshahi divisional office as the project registered in Rajshahi divisional office
Rejected,     /              --                   
Rejected,please submit an updated tax certificate
Rejected,Replacement is not proper; as well as earlier the expatriate worked in the same company in the same post. Please hire any local company in the post
Rejected,bangladesh has adequate SAP expert. the position is IT related. Please hire from local sources.
Rejected,The salary has to be more than the previous work permit (whose salary was 5/6 years ago).  The explanation is not acceptable.
Rejected,"Several observations have made prior to this final decision but the applicant has paid no heed to the following requirements:\
\
1. It was stated in the earlier observation that any amendment in the registration required decision of the Board of Directors. In the first attempt an incomplete board resolution was submitted. In the second spell another board resolution was submitted where no decision on inclusion of machinery was recorded. It was found from the plain reading of the board resolution that the board decided to amend the equity, not on the inclusion of machinery. This application sought inclusion of machinery in the amended registration.\
\
2. It was stated in the previous observation that the applicant was not authorized to submit the application, at least no proof of authorization was produced. The authorization should be approved in the board meeting to do certain task on behalf of the company. The proof of authorization is required to protect the interest of the company so that no unauthorized or illegal individual can do anything against or beyond the interest of the company. It was not complied with.\
\
3.The applicant was communicated by the desk officer in front of the Director, BIDA to understand the desired amendment and to know the actual country of origin. He was found answering in such a manner that he knew nothing about the application. Moreover, in the first attempt he wrote China to be the country of origin, in the second attempt he wrote Virgin Island, British to be the country of origin, and in the third attempt he wrote the United Kingdom to be the country of origin. All these were done without the knowledge of the Board of Directors. Those activities pushed this office to put the applicant on doubt as to his genuineness. \
\
Therefore, finally it was decided to reject the application. However, the company may submit application for amendment at any time with proper document."
Rejected,"        ,,,/- (        )           -    (            )       "
Rejected,Machinery price does not match with Sl 6
Rejected,Please hire a Head of HR from locally.Hence the application has been rejected
Rejected,"The deadline for the application is 26 September 2023. You hired the expatriate before the completion of the recruitment process. Hence, the application has been rejected"
Rejected,"  ,                                  "
Rejected,"Please submit the latest audit report, and documents relating to the submission of application for the post by Mr Yao Shangbing"
Rejected,"\
The copy of declaration should be changed because it seems to be edited. "
Rejected,"As per the uploaded work permit, MR U SEIN LWIN working in the company since 1993 (doc 7). But according to the latest from XII, he is not an investor in the company. Hence the application for the extension of the work permit has been canceled. Please replace the post with a local employee"
Rejected,please discuss with BIDA with relevant papers
Rejected,"I have gone through the application of amendment, attached documents and board resolution. It is resolved that the price of products has been shown in the original registration a price per kg instead of price per MT. This explanation has no ground to accept. One example is sufficient to reject the ground. Price shown against garlic pickle is 8189 USD which is equivalent to almost 900,790. The question is whether this price is per kg or per ton. This price have no reason to believe for the price of per kg. It is astonishing how the company tried to mislead this office. \
However, No shortfall is required as the application is submitted for an impracticable amendment. Therefore, we decided to reject the application straightforward."
Rejected,"After the previous shortfall, they uploaded docs 12 &13 and resubmit the application. Kindly see docs 12 & 13 and give your kind decision"
Rejected,Earlier the expatriate illegally worked in Bangladesh beyond the work permit in the same company. Please hire local employees. Hence the application has been rejected
Rejected,"A. Last time, the work permit was approved on the condition that further extension of the work permit would not be allowed. You must replace the expatriate with the local HR by that period. Kindly replace the post with a local employee. \
B. Multiple user IDs are not acceptable for a company. Please marge the IDs"
Rejected,"A. Last time approved 6 months on condition that The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period.\
B. Now again for 1 year extension\
C.  Maybe rejected or approved up to 30.9.2023 for just departure"
Rejected,Deputy General Manager can't  work as Manager. Hence the amount of salary is too much low from the previous job. The applicant can be suggested to revise the whole procedure or the application can be rejected.
Rejected,"Previously Mr. Prasanna Rangapriya Costa Kondan Kostalage worked as Deputy General Manager. Now he has been selected to work as manager which is lower rank than his previous job. Again, his salary is low in relation to previous job. The applicant of the ""MOHARA ASIAN APPARELS LIMITED"" has been suggested to give new job circular mentioning at least recruitment of DGM. But the applicant is reluctant to follow the request and hence he has submitted the faulty application. This application can be rejected."
Rejected,"The job advertisement was for the position of QUALITY TECHNICIAN. Here selected person worked as manager. The person who worked as manager can't worked as technician. Hence, the application of E Type Visa for Mr. Anura De Silva Kiriella Gurunnanselage for the position of QUALITY TECHNICIAN may be rejected."
Rejected,"a. the job advertisement was for the position of QUALITY TECHNICIAN. Here selected person worked as manager. The person who worked as manager can't worked as technician. Hence, the application of E Type Visa for Mr. Anura De Silva Kiriella Gurunnanselage for the position of QUALITY TECHNICIAN may be rejected.\
"
Rejected,"a. According to the registration/amendment, information mentioned in section 2 is not correct.  \
b. ""List of machinery to be imported"" section is not correct."
Rejected,Head of product development team can't work as technician. 
Rejected,"I perused the reply to the shortfalls. The shortfall-points were very clear to easily understand. The reply was not relevant at all to the shortfalls as remarks. The reply was too short as this seems to me that the applicant ignored the shortfalls. The shortfalls were clearly defined on specific issues, but the applicant had no scientific and logical answers to them rather he consciously avoided and skipped it. So I hereby, rejected the application for registration amendment shown major and unusual changes in annual production capacity and for other errors also. "
Rejected,Upload the present valid rent agreement of the factory as factory address mentioned in TCB Bhabhan.	
Rejected,"a. Upload L/C copy from Trust Bank or change the bank name mentioned in section 15. Here the draft L/C from Al-Arafah Islami Bank Ltd. If the L/C copy from Al-Arafah Islami Bank Ltd. on behalf of Trust Bank then a statement from Trust Bank is necessary to declare that Al-Arafah Islami Bank Ltd. is working in behalf of Trust Bank.\
b. Fill up section 8."
Rejected,The organization is requested to submit its specific activities to BIDA.
Rejected,"After publishing the latest job advertisement, whether you receive the application.Please submit the the outcome of the latest advertisment"
Rejected,Too late application hence the application has been rejected
Rejected,"Inspection offer put following remarks ""                      ""\
so application may rejected"
Rejected,The company is not financially solvent
Rejected,Information of section B is not correct.
Rejected,"a. Upload BIDA Registration Amendment Certificate as there is information in section 11.\
b. Please remove Proposed information part in ""Business Sector"" section as Existing information and Proposed information are same.\
c. Uploaded ""Memorandum and Article of Association"" does not have any government seal.\
d. Properly fill up ""List of directors"" section."
Rejected,PLease apply for E visa for a nominee director
Rejected,"Rental deed/land purchase papers for new factory should be attached\
Application rejected because of not comply of BIDA requirement"
Rejected,pleaser recruit a local finance professional for the position of a CFO
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"\
The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected.\
"
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,"The company is not maintaining the ratio of local workers to foreign workers (5:1). Moreover, the letter from Petrobangla dated 11 September 2023 has no clear indication for waiving the abovementioned ratio. Hence, the work permit application is rejected."
Rejected,The newly inserted products does not match with section/division/group in business sector.
Rejected,please submit training plan of developing local skills
Rejected,"1.  As per the advertisement required academic qualification-Bachelor of Science (BSc) in EEE, Bachelor of Science (BSc), Diploma in Electrical, Did not uplaod the educational and experience certificate, Uploaded doc 8. Please see the doc 8\
2. Did not upload the 3 advertisements as per the BIDA guideline 2023, Uplaoded a advertisement  which published on 2021"
Rejected,You hire the expatriate without completing the recruitment process properly.Hence the application has been rejected
Rejected,"According to the guideline, an expatriate may work 5 years continuously. As the limit has exceeded, the application has been rejected."
Rejected,"Shortfall is not meet up\
Application rejected because of not comply BIDA requirement"
Rejected,         
Rejected,"This company has previously received BIDA Registration amendment online but falsely denied receiving such services.For this reason the original information cannot be  uploaded automatically. This is a bad attempt\
2. List of directors is incomplete\
3. Column 12 is left blank.\
For above reasons, the application is rejected."
Rejected,Official record shows that you have received BIDA registration amendment online. But you are hiding the fact saying no at the basic information. On this ground we are rejecting this application
Rejected,"Serial no. 1,2,3,4,8, 11, and 12 of the application form have been left blank by the applicant. With this multiple mistakes the application cannot be allowed. Therefore, the appliction is rejected."
Rejected,"a. Basic salary mentioned in the application does not match according to the appoint and board resolution.\
b. Manpower of the organization does not match according to the BIDA registration amendment certificate."
Rejected,"1. We have thoroughly reviewed this application and all related previous documents. This company was registered with BIDA on 29.05.2023. After the first registration two amendment to the registration have already been made on 19.06.2023 and 26.06.2023 respectively. This application is for the third amendment in a row within the the last five months. \
2. It appears that proper importance is not given at the time of submission of application and for that repeated amendment is required. We have carefully perused the application and found that amendment has been sought for increasing the annual production capacity. The commercial operation of the company was supposed to start on July 2023, just  four months back, albeit we are not sure when the company started production or started at all. The time elapsed is not sufficient to decide whether the company has/require extended capacity of production. It requires to complete at least one production cycle (one year) to arrive at the decision about the annual production capacity. At this stage the application is not mature enough to be allowed. Therefore, the application is rejected. \
3. Please be noted that there are some gross mistakes in the application, for example please look into column 4, column 12 etc, which have not been cited here because of taking decision differently. "
Rejected,"As per the latest circular the following need to be complied with for a reconsider the existing employees:\
please submit all the following information and documents: (i) the reasons for application for visa application despite already working 05 years in Bangladesh with the supporting documents (ii) a replacement plan of the foreign worker with a local worker along with supporting documents (iii) submit a plan with supporting documentation on how the foreign worker trains and develops local worker as his successor (iv) submit a duly approved training manual having the evaluation method of the training for local workers. (v) the experience and qualification of the position for which a foreign worker is appointed (vi) the process and formalities with supporting documents observed in appointing the expatriate (vii) the duly approved Service Regulation where provisions of appointing foreign workers are described clearly (viii) how the expatriate contributed to the economy of Bangladesh in last 5 years with documentary evidence."
Rejected,"A. Please uplaod the work permit and income tax clearance certificate under section 193 of the Income Tax Act 2023 up to the 24.7.2023\
B.Please also uplaod the passport (whole used part)"
Rejected,"A. You received the work permit online but provided the wrong information in the application. Please provide the correct information\
B. you provided a fake work permit (WPN-09Dec2020-00018), Hence the application has been rejected"
Rejected,Please be noted opinion MOST may be taken
Rejected,please explain why the director of a simple import-export company needs to come to Bangladesh. The submitted explanation is not satisfactory
Rejected,"a. Price (USD) mentioned in section 2 is not correct. \
b. Upload clear copy of form XII.	"
Rejected,Please submit the outcome of the requirements mentioned in the advertisement with detailed documents.
Rejected,     Please list machinery properly. Why do you increase machinery abruptly without increasing production capacity?
Rejected,"please comply\
1. The company shall mention its activities in Bangladesh; 2. BIDA will take the opinion of the Power Development Board on approval of the branch office in Bangladesh."
Rejected,"The Inspection officer remarks as following. This application may rejected.\
 ""                                Shortfall          Resubmit    System Block      Reject ()    """
Rejected,the response submitted to the query was not proper and not convincing. Hence the application is rejected.
Rejected,"Please discuss with BIDA along with relevant papers of encashment in the name of Ms ZHU JIANYAN \
"
Rejected,The opinion of the  Foreign Exchange Policy Department of Bangladesh Bank will be sought about opening this liaison office. 
Rejected,please revise the activities in Bangladesh. Branch office can't manufacture
Rejected,please submit an updated passport with all pages
Rejected,Multi user ID  is not acceptable. Single application is enough. Please process the previous application ( VR-19Mar2023-00003)
Rejected,Please apply to Rangpur divisional office as the factory is located in the Thakurgaon district
Rejected,"Inspection officer requested to cancel this application , as the company requested him the same. The criteria is not corrected by previous shortfall. so this may be rejected."
Rejected,Your company is not registered with BIDA as an industry. So you are not eligible for the service from the wing. Please apply to Commercial wing
Rejected,Please share the original Document of remittances with BIDA
Rejected,The company's financial position is not good. please hire a CFO from local sources 
Rejected,"a. Number of Fire Fighting Equipment and Communication Equipment is unrealistic. \
b. Give explanation how 4 Sounder Soner, 4 Radar, Fish Finder, 6 GPS and 200 Safety Accessories will be used in a vessel. Upload the detail drawing of the vessel mentioning the position of these items."
Rejected,"a. Upload the machinery list that has been issued from BIDA.\
b. Upload L/C from Standard Bank or change the bank name in section 15 or upload the NOC from Standard Bank about opening L/C by Al-Arafah Islami Bank in favor of Standard Bank."
Rejected,Name of organization/ company does not match with trade license.
Rejected,"a. Upload copy of incorporation certificate and memorandum both in attachment 6. \
b. Information mentioned in ""Recommended Annual Production Capacity & Raw Materials as per IRC"" section is not correct. \
c. Information mentioned in section 13 is not correct."
Rejected,based on the opinion from the organization the application is rejected 
Rejected,based on the opinion from the organization the application is rejected 
Rejected,"                    ( ) ,            "
Rejected,"A. The security clearance was issued with the remark -             B. Please submit the income tax returns and certificates, calculation of the taxes, and related documents and kindly clarify, showing with the calculations, that you fulfill the above condition properly (deduct income tax properly as per the instruction of the security service division for the period from the first working day. C.If you are not clear, kindly discuss the Director General and then resubmit the application as discussed with you over the phone"
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision. "
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,The expatriate in Bangladesh. Uploaded doc 13. Kindly see doc 13 and give your kind decision.
Rejected,"As per the uploaded encashment certificate, the company's total investment is USD 1,19,932.00.  Mr ANKIT MAHAJAN's investment is only USD 50.00"
Rejected,"A. You received a visa recommendation (VR-23Jan2023-00020) as Chief Mechanical Engineer again and received a visa recommendation as Technician (VR-21May2023-00009). You also provide misinformation regarding the travel history. Please explain why you provided such misinformation in the applciation regarding the designation.\
"
Rejected,please be noted branch office permission is not applicable for a locally incorporated company
Rejected,same application submitted twice
Rejected,	please submit company recommendation for Ms. Keka Monalova Chowdhury
Rejected,Applicant apply two application that sway one are application  
Rejected,Applicant apply two application that sway one application are reject 
Rejected,This person has worked in the sister of this organization. Please hire from local sources.
Rejected,"The submitted explanation is unacceptable. We understand the process, legal provisions, and time required for obtaining it. The very lame excuse submitted by the company shows its unwillingness to respond to the requirement. Therefore the application is rejected."
Rejected,"Please explain how the position of 'attorney' became  'Country Manager'\
Please submit a detailed report of the activities undertaken by this organization  "
Rejected,"          \
8. Public utility service   "
Rejected,"This application is rejected on the ground of submitting false information that includes among others online registration information, source of finance etc. The applicant may submit a fresh application with all genuine information"
Rejected,"Kindly upload the passport (whole used part) with the E visa seal from the Bangladesh embassy in Beijing, China and the arrival stamp under the visa recommendation. "
Rejected,"A. As per the guideline, they should submit an encashment certificate of inward remittance of a minimum of USD 1.00 (one) lakh as a foreign investment (foreign equity) in the applicant organization and for individual investors USD 40.00 (forty) thousand by the foreign investor. B. Earlier we advised them to follow the guidelines. They uploaded an encashment certificate only for USD 8539. Uploaded a request letter for visa recommendation. Please see doc 9 and give your kind decision"
Rejected,"The work permit was received under one company, and you applied for an extension from another company.  Hance, the application has been rejected "
Rejected,Please upload Copies of the encashment certificate of inward remittance of a minimum of USD 1.00 (one) lakh as a foreign investment (foreign equity) in the applicant organization and USD 40.00 (forty) thousand by Mr. Yang Jian 
Rejected,"please fill up the sub class code as per BBS; \
Please provide us the Copy of board resolution signed by all directors;\
Machineries value does not match with BIDA registration at section 6\
Please provide us all Machineries List as per BIDA registration;\
List of director does not match with BIDA registration, please provide us RJSC form 12; \
Thanks."
Rejected,No attachment found and hence the application is rejected
Rejected,"As we found no attachment, we are unable to process the application. Therefore, the application is rejected. You may resubmit the appliction at your convenience."
Rejected,"Please be noted that representative office permission is not applicable to local companies.  Moreover, there are plenty of Bangladeshi building making companies exist in Bangladesh"
Rejected,"  :\
                             ( -)     ,                                                                       \
\
      (Reject)        "
Rejected,"After the previous shortfall, the expatriate did not leave Bangladesh. The expatriate in Bangladesh is under an expired visa. Uploaded doc 13 and resubmit the application. Please see doc 13 and give your"
Rejected,"A. Earlier, the expatriate worked in Bangladesh (passport page 9). Please cancel the previous work permit and then resubmit the application  properly as per the condition of the BIDA Guidelines 2023\
Note: Please follow the above observation and resubmit the application properly. The application processing is a fully automatic and online process. If you have confusion about the observations or the next course of action, you may call OR mail for clarifications. Physical visits are generally discouraged in order to maintain neutrality and transparency of decisions."
Rejected,"please revise the salary as per 'Guidelines for providing permission for establishment of foreign commercial offices, providing visa recommendations to foreign workers and issuing work permits to foreign workers in Bangladesh,2023' https://bida.gov.bd/acts-laws-circulars 2. explain why on arrival vis is converted to E visa"
Rejected,Submit supporting documents for increasing demand. 
Rejected,please hire a local Senior Manager - Finance & Accounts
Rejected,please submit the Project Director's opinion on extending the permission of the branch office. 
Rejected,"1. As per the uploaded passport, earlier the expatriate worked in Bangladesh. They did not mention it in the travel history. even did not upload a copy of the passport (whole used part)\
2.  after the shortfall, they acknowledged that earlier the expatriate worked in Bangladesh but did not receive the work permit.\
3. Now resubmit the application with doc 13. "
Rejected,"Still now, the salary is less than the BIDA guideline. You did not fulfil the previous shortfall. If you are not clear regarding the previous shortfall, kindly discuss it over the phone first and then resubmit the application"
Rejected,"a. There is no legal document of directorship change and there is no decision in board resolution about directorship change. So the proposed change in list of director's section is not applicable. \
b. Proposed factory address is the area of Bangladesh Hi-Tech Park Authority. Hello World Communications Limited	is a listed investor of the said area of Hi-Tech Park Authority (Please see the attachment ). So, according to the BIDA Act 2016 this application can't be processed from BIDA OSS and can be rejected."
Rejected,Application rejected because of not submitted documents as per BIDA requirements.
Rejected,              --  -/-/-/                                              
Rejected,"Because you hired the expatriate without completing the recruitment process properly, as mentioned in the BIDA guideline. Hance, the application has been rejected."
Rejected,"Because you hired the expatriate without completing the recruitment process properly, as mentioned in the BIDA guideline. Hance, the application has been rejected."
Rejected,"Company's requirement has been amendedin the previous application.So, this application can be rejected"
Rejected,"A. The previous shortfall was -Please respond to this shortfall-(Please submit copies of the published advertisement as per the Guideline (at least 2 (two) widely circulated Bangladeshi national dailies and 1 (one) job-related Bangladeshi website. The deadline of the application has to be 15 days, and job advertisements have to be as per exactly BIDA guidelines;)\
B. The uplaoded online job advertisement was published on September 2022. around 1year ago\
C. They did not follow our advise , uplaoded doc 13 and resubmit the application"
Rejected,"A. The previous shortfall was -Please respond to this shortfall-(Please submit copies of the published advertisement as per the Guideline (at least 2 (two) widely circulated Bangladeshi national dailies and 1 (one) job-related Bangladeshi website. The deadline of the application has to be 15 days, and job advertisements have to be as per exactly BIDA guidelines;) B. The uplaoded online job advertisement was published on September 2022. around 1 year ago C. They did not follow our advice, uplaoded doc 13, and resubmit the application"
Rejected,"As you received IRC recommendation, your application for amending Date of commercial operation seems invalid. The application may be rejected."
Rejected,The application has been rejected because you hired the expatriate without completing the recruitment as per the BIDA guideline
Rejected,"According to the consultation with OSS vendor, status of the organization can't be amend in the present OSS system. Due to this no attachment can't be seen in the A.D. Desk. So, this application can be rejected and the company can apply manually to amend the company status.\
"
Rejected,"MR KOMOL DEEDAS has been working in the factory since 2014 in the same position. It is clear that his contribution is not so much for the factory as he has been in the same position for the last 9/10 years. Hence in the latest guideline it has been discouraged to extend work permit after working 5 years. So this application can be rejected and the applicant can be advised to recruit local employee in the position.\
"
Rejected,The application is rejected for not submitting copies of the pages of the passport of the expatriate having the E-visa and the arrival seal after requesting several times.
Rejected,"Up on the following comments by inspection officer it is clear that the organization did'nt install any machineries. Applicant did'nt attach approved machinery list page, so i can't verify if they have machinery to be imported. \
 ""COSMO APPARELS CO.         ,                                                    """
Rejected,The application is rejected due to non-submission of up-to-date income tax clearance certificate for the foreigner under section 193 of the Income Tax Act 2023.	
Rejected,The application is rejected due to non-submission of up-to-date income tax clearance certificate for the foreigner under section 193 of the Income Tax Act 2023.	
Rejected,"Because you hired the expatriate without completing the recruitment process properly, Hence, the application has been rejected."
Rejected,Because you hired the expatriate without completing the proper recruitment process as mentioned in the BIDA guidelines. Hence the application has been rejected
